track,card_id,race_date,breed,name,weight,age,sex,meds_and_equip,jockey,dollar_odds,program_number,post_position,claim_price,start_position,finish_position,finish_time,speed_rating,trainer,owner,win_payoff,place_payoff,show_payoff,weather,distance,race_type,track_conditions
WO ,D,2015-10-06 00:00:00,TB,Miss Aunty Re,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Showery,500.0,Maiden Claiming,FT
WO ,D,2015-10-06 00:00:00,TB,Miss Aunty Re,123,4,M,Ly,A   Garcia,9.9,6.0,6,10000,5.0,4.0,0.0,65.0,MacRae Donald C,Michael Loughry,0.0,0.0,0.0,Rainy,600.0,Maiden Claiming,FT
WO ,D,2015-10-12 00:00:00,TB,Fo'c'sle,119,3,G,L,P   Husbands,14.65,4.0,3,0,8.0,6.0,0.0,76.0,Casse Mark E,East West Stables,0.0,0.0,0.0,Showery,650.0,Maiden Optional Claiming,FT
WO ,D,2015-10-12 00:00:00,TB,Machito,119,6,G,Lb,G   Olguin,9.65,7.0,7,7500,7.0,1.0,0.0,81.0,McDonald Michael K,"McDonald, Mike K, and LeBlanc, April",21.3,9.9,4.9,Cloudy,700.0,Claiming,FT
WO ,D,2015-10-17 00:00:00,TB,Grand Indigo,120,3,F,b,J M Campbell,6.85,4.0,4,0,5.0,6.0,0.0,64.0,Attfield Roger L,Chiefswood Stable,0.0,0.0,0.0,Cloudy,650.0,Maiden Optional Claiming,FT
WO ,D,2015-10-21 00:00:00,TB,Creeping Barrage,121,8,G,Lbf,M   Badal,75.7,7.0,7,0,10.0,13.0,0.0,52.0,Singh Ricky,Ricky Singh,0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2015-10-31 00:00:00,TB,Daylight Breeze,121,4,G,Lbf,G   Boulanger,22.05,3.0,3,0,9.0,3.0,0.0,98.0,McPherson Alexander F,Hopefield Farm,0.0,0.0,8.9,Clear,700.0,Allowance,FT
WO ,D,2015-11-13 00:00:00,TB,Haggat Hall,121,7,M,Lb,R M Hernandez,129.9,1.0,1,7500,5.0,13.0,0.0,21.0,Abraham Clint,Lori A. Pinch,0.0,0.0,0.0,Showery,600.0,Maiden Claiming,FT
WO ,D,2015-11-14 00:00:00,TB,Saran Is Awesome,118,3,G,Lf,C   Spataro,28.9,9.0,9,11500,9.0,8.0,0.0,44.0,McHugh Saul,Mahamoud Pootoolal,0.0,0.0,0.0,Cloudy,850.0,Maiden Claiming,FT
WO ,D,2015-11-20 00:00:00,TB,Boggie,119,4,M,,L   Contreras,9.05,13.0,11,9500,2.0,11.0,0.0,66.0,Glennon Darren C,"Mehta, Soli and Rainbow End Racing Stable",0.0,0.0,0.0,Showery,650.0,Claiming,FT
WO ,D,2015-11-22 00:00:00,TB,Wish It Were Rye,121,4,M,Lb,J I Alderson,3.0,10.0,10,9500,8.0,4.0,0.0,56.0,Tharrenos William,Natural Eight Stable Jackson G L and Russell Shannon E,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2015-11-25 00:00:00,TB,Gwendoline H,119,3,F,,L   Contreras,2.3,4.0,4,25000,2.0,1.0,0.0,78.0,Vella Daniel J,Joey Gee Thoroughbreds,6.6,4.0,3.0,Cloudy,600.0,Maiden Claiming,FT
WO ,D,2015-11-26 00:00:00,TB,Mighty Quinn,121,6,G,Lb,J I Alderson,43.4,5.0,4,10000,11.0,12.0,0.0,63.0,Berringer Peter,Aurora Meadows,0.0,0.0,0.0,Clear,700.0,Claiming,FT
WO ,D,2015-11-26 00:00:00,TB,Dzala,119,4,G,Lb,I E Mosqueira,10.5,3.0,3,9500,13.0,10.0,0.0,67.0,Attard Sid C,Goldmart Farms,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2015-11-28 00:00:00,TB,Damascus Road,118,3,C,L,J M Campbell,14.3,5.0,5,0,3.0,8.0,0.0,79.0,Casse Mark E,"Bill and Vicki Poston Racing, Inc.",0.0,0.0,0.0,Cloudy,850.0,Allowance,FT
WO ,D,2015-11-28 00:00:00,TB,Milwaukee Flash,119,5,G,L,D   Moran,20.3,9.0,8,19000,7.0,8.0,0.0,59.0,Doyle Michael J,C. Scott Abbott Racing Stable Ltd.,0.0,0.0,0.0,Showery,650.0,Claiming,FT
WO ,D,2015-11-28 00:00:00,TB,Frascati Gold,119,7,G,Lb,S   Callaghan,26.35,10.0,10,9500,9.0,2.0,0.0,82.0,Fitzgerald Shelley E,Shelley E. Fitzgerald,0.0,28.5,11.8,Cloudy,700.0,Claiming,FT
WO ,D,2015-11-29 00:00:00,TB,Gigantic Breeze,118,3,C,L,S P Husbands,30.05,4.0,4,0,4.0,6.0,0.0,65.0,McPherson Alexander F,Hopefield Farm,0.0,0.0,0.0,Cloudy,900.0,Allowance,FM
WO ,D,2015-11-29 00:00:00,TB,Lion of Judah,121,4,G,Lb,O   Moreno,102.5,7.0,7,0,10.0,10.0,0.0,61.0,Drake Suzanne M,Silver Duck Racing Stable,0.0,0.0,0.0,Clear,500.0,Allowance,FT
WO ,D,2015-11-29 00:00:00,TB,Crushin Hard,119,7,G,Lb,S P Husbands,56.85,1.0,1,37500,12.0,11.0,0.0,77.0,McPherson Alexander F,Robert Atto,0.0,0.0,0.0,Cloudy,700.0,Claiming,FM
WO ,D,2015-11-29 00:00:00,TB,Conquest Expresso,117,3,G,Lb,L   Contreras,7.6,10.0,10,0,11.0,5.0,0.0,87.0,Casse Mark E,"Conquest Stables, LLC",0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2016-01-30 00:00:00,TB,Conquest Sandman,120,3,C,L,J V Bridgmohan,2.8,7.0,7,0,9.0,2.0,0.0,89.0,Casse Mark E,"Conquest Stables, LLC",0.0,4.1,3.3,Cloudy,700.0,Maiden Special Weight,GD
WO ,D,2016-01-30 00:00:00,TB,Ami's Mesa,118,3,F,L,L   Contreras,0.9,7.0,7,0,4.0,2.0,0.0,89.0,Carroll Josie,Ivan Dalos,0.0,2.4,2.1,Cloudy,700.0,Allowance Optional Claiming,FT
WO ,D,2016-02-06 00:00:00,TB,Lukes Alley,126,6,H,L,L   Contreras,3.05,6.0,6,0,2.0,5.0,0.0,100.0,Carroll Josie,"Melnyk Racing Stables, Inc.",0.0,0.0,0.0,Cloudy,850.0,Stakes,FT
WO ,D,2016-02-07 00:00:00,TB,Love On Tides,119,3,F,L,E R Da Silva,4.9,5.0,5,0,1.0,2.0,0.0,80.0,Pierce Malcolm,Sam-Son Farm,0.0,6.7,5.6,Showery,600.0,Maiden Special Weight,FM
WO ,D,2016-02-20 00:00:00,TB,Peche Mobilee,121,7,M,Lf,D   Moran,94.55,9.0,9,0,5.0,6.0,0.0,72.0,Pottins Judith R,Shortstop Stable,0.0,0.0,0.0,Cloudy,850.0,Allowance,FT
WO ,D,2016-03-04 00:00:00,TB,Cleopatra's Strike,119,3,C,Lb,E R Da Silva,2.55,4.0,4,0,4.0,2.0,0.0,81.0,Pierce Malcolm,Sam-Son Farm,0.0,3.9,3.0,Cloudy,850.0,Maiden Special Weight,FM
WO ,D,2016-03-17 00:00:00,TB,Italian Beauty,121,4,M,L,J I Alderson,3.5,5.0,4,7500,3.0,1.0,0.0,70.0,McKnight Norman,Bruno Schickedanz,9.0,5.5,4.1,Cloudy,650.0,Maiden Claiming,FT
WO ,D,2016-04-09 00:00:00,TB,Winning Smile,120,3,F,L,L   Contreras,1.7,3.0,3,0,5.0,1.0,0.0,70.0,Attard Sid C,Stronach Stables,5.4,3.0,2.3,Cloudy,600.0,Maiden Optional Claiming,FT
WO ,D,2016-04-10 00:00:00,TB,Awesome Indeed,119,4,M,Lb,K   Johnson,15.95,6.0,6,9500,9.0,10.0,0.0,70.0,Robillard Julie,Bruno Schickedanz,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2016-04-16 00:00:00,TB,Crafty Gizmo,121,5,M,Lb,E   Wilson,2.55,9.0,9,10000,9.0,10.0,0.0,36.0,Nosowenko Nicholas,"Nosowenko, Mike and Nick",0.0,0.0,0.0,Cloudy,600.0,Claiming,FT
WO ,D,2016-04-16 00:00:00,TB,Tesalina (CHI),121,5,M,L,J  Valdivia Jr,4.85,8.0,8,0,3.0,3.0,0.0,85.0,Ward Wesley A,Don Don Alberto Stable,0.0,0.0,3.2,Cloudy,700.0,Allowance Optional Claiming,GD
WO ,D,2016-04-16 00:00:00,TB,Seattle Affair,120,3,G,,J M Campbell,22.65,5.0,5,0,1.0,4.0,0.0,84.0,Abela Silvio,Chiefswood Stable,0.0,0.0,0.0,Cloudy,700.0,Maiden Special Weight,GD
WO ,D,2016-04-24 00:00:00,TB,Lassie's Victor,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,500.0,Allowance,FT
WO ,D,2016-05-01 00:00:00,TB,Drumcliff,119,3,G,,T   Wong,80.05,9.0,9,40000,7.0,7.0,0.0,79.0,Black Ian,Joan H Addison,0.0,0.0,0.0,Cloudy,800.0,Maiden Optional Claiming,GD
WO ,D,2016-05-01 00:00:00,TB,Java's Bourbon,119,4,H,L,A   Garcia,5.3,2.0,2,37500,4.0,5.0,0.0,86.0,Attfield Roger L,Charles E. Fipke,0.0,0.0,0.0,Cloudy,850.0,Claiming,GD
WO ,D,2016-05-08 00:00:00,TB,Big Bazinga,121,5,G,L,A   Garcia,1.25,4.0,4,32000,6.0,3.0,0.0,91.0,Vassilieva Katerina,Bull and Bear Stable,0.0,0.0,2.2,Cloudy,850.0,Claiming,FT
WO ,D,2016-05-13 00:00:00,TB,Amber Brewski,119,4,M,Lb,E R Da Silva,14.45,6.0,5,19000,6.0,5.0,0.0,74.0,De Paulo Michael P,Gerald F. Pike,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2016-05-14 00:00:00,TB,Hazel Meadow,120,3,F,L,T   Wong,0.95,5.0,5,10000,1.0,5.0,0.0,60.0,Tiller Robert P,3 Sons Racing Stable Ltd.,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2016-05-15 00:00:00,TB,Niigon's Legacy,118,3,F,L,G   Boulanger,11.9,8.0,8,0,7.0,10.0,0.0,86.0,Abela Silvio,Chiefswood Stable,0.0,0.0,0.0,Cloudy,700.0,Allowance,FT
WO ,D,2016-05-19 00:00:00,TB,Knuckle Curve,121,5,G,L,G   Olguin,20.4,5.0,5,0,1.0,8.0,0.0,56.0,O'Connor David M,Bloom Racing Stable,0.0,0.0,0.0,Cloudy,650.0,Allowance Optional Claiming,FT
WO ,D,2016-05-22 00:00:00,TB,Kinkora Heat,116,4,G,Lb,A D Auger(5),4.05,5.0,5,10000,5.0,6.0,0.0,60.0,Desruisseaux Allen,Hewitt-Topp Maureen E and Desruisseaux Allen,0.0,0.0,0.0,Rainy,500.0,Claiming,FT
WO ,D,2016-05-29 00:00:00,TB,Moonlight Malice,119,3,G,L,J V Bridgmohan,7.8,1.0,1,12500,7.0,4.0,0.0,62.0,Shafer Jennifer,Mark Gems International Ltd,0.0,0.0,0.0,Cloudy,700.0,Maiden Claiming,FT
WO ,D,2016-05-29 00:00:00,TB,Daily Brew,120,3,G,b,J I Alderson,64.25,3.0,3,40000,3.0,4.0,0.0,75.0,O'Connor Ray L,Deborah Orr,0.0,0.0,0.0,Cloudy,600.0,Maiden Optional Claiming,FT
WO ,D,2016-06-01 00:00:00,TB,Lucky Melissa,119,9,M,L,S   Singh,12.5,7.0,6,7500,6.0,4.0,0.0,71.0,Fuoco Carlo,Carlo Fuoco,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2016-06-01 00:00:00,TB,Ada's Sunshinelady,119,3,F,L,T   Wong,12.9,1.0,1,40000,2.0,3.0,0.0,59.0,Tiller Robert P,Hoof Hearted Stables,0.0,0.0,4.4,Showery,500.0,Maiden Optional Claiming,FT
WO ,D,2016-06-01 00:00:00,TB,Blutarsky,121,4,G,Lb,R M Hernandez,4.9,3.0,3,9500,3.0,1.0,0.0,72.0,Vella Daniel J,Joey Gee Thoroughbreds,11.8,6.2,3.5,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2016-06-03 00:00:00,TB,Awesome Secret,121,5,M,L,I E Mosqueira,46.1,3.0,3,8000,2.0,8.0,0.0,41.0,Jolin Chris,Sean Kissoon,0.0,0.0,0.0,Cloudy,850.0,Claiming,FT
WO ,D,2016-06-04 00:00:00,TB,Distinctive Bay,117,3,G,Lb,R M Hernandez,5.55,1.0,1,10000,4.0,9.0,0.0,67.0,Attard Sid C,Norseman Racing Stable,0.0,0.0,0.0,Cloudy,700.0,Claiming,FT
WO ,D,2016-06-04 00:00:00,TB,Seewill,123,4,F,Lb,A   Garcia,3.35,1.0,1,0,2.0,4.0,0.0,68.0,Patton Kathy,Brandon Brako Stable,0.0,0.0,0.0,Rainy,500.0,Maiden Optional Claiming,FT
WO ,D,2016-06-05 00:00:00,TB,Stacked Deck,118,5,G,L,R M Hernandez,1.8,7.0,7,0,1.0,1.0,0.0,109.0,Minshall Barbara J,Bruce Lunsford,5.6,3.3,2.7,Cloudy,600.0,Stakes,FT
WO ,D,2016-06-05 00:00:00,TB,Canadian Class,123,4,G,Lb,A   Garcia,15.6,8.0,7,40000,3.0,1.0,0.0,84.0,Biamonte Ralph J,Mary E. Biamonte,33.2,12.0,6.8,Cloudy,700.0,Maiden Optional Claiming,FT
WO ,D,2016-06-05 00:00:00,TB,Courtly Manner,120,2,G,L,R M Hernandez,1.7,6.0,6,0,4.0,3.0,0.0,62.0,Minshall Barbara J,Bruce Lunsford,0.0,0.0,2.2,Showery,500.0,Maiden Special Weight,FT
WO ,D,2016-06-05 00:00:00,TB,Forester's Destiny,121,5,G,L,P   Husbands,8.55,9.0,9,0,3.0,7.0,0.0,85.0,Mattine John,Lucky Fish Stable,0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2016-06-10 00:00:00,TB,Dream On Johnnie,119,4,G,Lb,D   Moran,15.45,3.0,3,7500,7.0,8.0,0.0,66.0,O'Callaghan Danny M,George Philip Ledson,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2016-06-11 00:00:00,TB,Big Blue Kitten,123,8,R,L,J   Rosario,3.15,2.0,2,0,0.0,8.0,0.0,103.0,Brown Chad C,Calumet Farm,0.0,0.0,0.0,Showery,1200.0,Stakes,GD
WO ,D,2016-06-11 00:00:00,TB,Top Decile,121,4,M,Lf,A   Garcia,6.2,1.0,1,0,7.0,1.0,0.0,91.0,Vella Daniel J,Stronach Stables,14.4,6.9,6.1,Cloudy,650.0,Allowance,FT
WO ,D,2016-06-12 00:00:00,TB,Clearly Special,118,5,G,Lf,T   Wolfe-Bell(5),80.5,2.0,2,8000,9.0,9.0,0.0,37.0,Goodlet Mark D,Mark Goodlet,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2016-06-12 00:00:00,TB,Into the Future,123,4,G,L,G   Boulanger,6.5,6.0,6,0,4.0,9.0,0.0,66.0,Casse Mark E,Tucci Stables,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FM
WO ,D,2016-06-14 00:00:00,TB,Tepin,121,5,M,L,J R Leparoux,0.45,8.0,8,0,6.0,1.0,0.0,123.0,Casse Mark E,Robert E. Masterson,2.9,2.1,0.0,Showery,800.0,Stakes,GD
WO ,D,2016-06-17 00:00:00,TB,Hindianna Jones,120,3,G,L,R M Hernandez,1.05,1.0,1,0,6.0,4.0,0.0,75.0,Attard Sid C,Janice Attard,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
WO ,D,2016-06-17 00:00:00,TB,Baby Godzilla,119,3,F,L,J   McAleney,21.0,6.0,6,8000,1.0,8.0,0.0,24.0,Smither Bruce R,Bruce R. Smither,0.0,0.0,0.0,Cloudy,650.0,Maiden Claiming,FT
WO ,D,2016-06-17 00:00:00,TB,Boots Are Made For,121,4,M,L,D   Moran,6.05,3.0,3,11500,2.0,2.0,0.0,65.0,Buttigieg Paul M,Buttigieg Training Centre,0.0,7.8,6.1,Cloudy,700.0,Maiden Claiming,FT
WO ,D,2016-06-18 00:00:00,TB,Vision of a Saint,114,2,F,b,S   Ryan,60.45,2.0,2,25000,4.0,7.0,0.0,14.0,Ladouceur Harold,Charles Boyd,0.0,0.0,0.0,Cloudy,650.0,Maiden Claiming,FT
WO ,D,2016-06-18 00:00:00,TB,Madame G,119,6,M,Lb,G   Boulanger,5.15,10.0,9,37500,10.0,6.0,0.0,70.0,Biamonte Ralph J,C. E. C. Farms,0.0,0.0,0.0,Cloudy,800.0,Claiming,GD
WO ,D,2016-06-18 00:00:00,TB,Cloud Banker,121,4,H,L,M Z Buchanan,59.7,6.0,5,7500,3.0,9.0,0.0,48.0,Williams Mario,Orane Scott,0.0,0.0,0.0,Cloudy,900.0,Maiden Claiming,FT
WO ,D,2016-06-18 00:00:00,TB,Shez a Ten I Know,118,3,F,Lb,P   Husbands,2.65,7.0,6,0,1.0,6.0,0.0,48.0,Casse Mark E,Barber Gary and Quintessential Racing Florida LLC,0.0,0.0,0.0,Rainy,500.0,Optional Claiming,FT
WO ,D,2016-06-24 00:00:00,TB,My Rosebud,121,4,M,Lb,S   Ryan,89.2,1.0,1,0,7.0,12.0,0.0,60.0,Grant Carlos,"Heste Sport, Inc.",0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2016-06-25 00:00:00,TB,Ben Lomond,119,3,C,,O   Moreno,14.95,5.0,5,0,6.0,2.0,0.0,65.0,Silvera Laurie,Laurie Silvera,0.0,12.5,6.0,Cloudy,500.0,Maiden Optional Claiming,FT
WO ,D,2016-06-25 00:00:00,TB,Professor Hartwick,121,4,G,Lb,J   Crawford,12.55,4.0,4,15000,6.0,3.0,0.0,62.0,Johnston Robert JW,Robert J.W. Johnston,0.0,0.0,5.5,Clear,550.0,Maiden Claiming,FM
WO ,D,2016-06-25 00:00:00,TB,Conquest Vivi,121,2,F,L,P   Husbands,0.45,7.0,6,0,5.0,1.0,0.0,79.0,Casse Mark E,"Conquest Stables, LLC",2.9,2.3,2.1,Showery,600.0,Stakes,FT
WO ,D,2016-06-26 00:00:00,TB,The Frood Dude,119,5,G,Lb,C   Jordan,70.7,3.0,2,19000,5.0,6.0,0.0,62.0,Jones Roy C,Roy C. Jones,0.0,0.0,0.0,Showery,550.0,Claiming,FM
WO ,D,2016-06-26 00:00:00,TB,Allied Chrome,123,4,M,Lb,T   Maragh,7.85,1.0,1,10000,8.0,4.0,0.0,63.0,Miller Blair A,Maplehaven Equestrian Center,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2016-06-28 00:00:00,TB,Lemon Drop Belle,118,3,F,L,S P Husbands,42.45,8.0,7,0,11.0,7.0,0.0,88.0,Neubauer Michaela,Charles E. Fipke,0.0,0.0,0.0,Cloudy,700.0,Allowance,FT
WO ,D,2016-06-28 00:00:00,TB,Axis Mundi,119,3,F,Lbf,S R Bahen,20.9,6.0,6,32000,5.0,3.0,0.0,62.0,Villeneuve Francine A,Francine A. Villeneuve,0.0,0.0,8.0,Cloudy,550.0,Maiden Claiming,FT
WO ,D,2016-06-29 00:00:00,TB,Regal Challenger,119,3,G,Lbfy,J I Alderson,10.05,3.0,3,12500,6.0,6.0,0.0,50.0,Armata Ross,Tano Green,0.0,0.0,0.0,Cloudy,700.0,Maiden Claiming,FT
WO ,D,2016-06-29 00:00:00,TB,Artistico,118,3,G,Lb,S   Ryan,9.4,6.0,6,0,5.0,5.0,0.0,78.0,Brnjas Ashlee,Colebrook Farms,0.0,0.0,0.0,Cloudy,900.0,Allowance,GD
WO ,D,2016-06-29 00:00:00,TB,Forest Castle,119,3,G,L,L   Contreras,5.15,8.0,8,0,14.0,4.0,0.0,84.0,Attard Sid C,Ivan Dalos,0.0,0.0,0.0,Cloudy,800.0,Maiden Optional Claiming,GD
WO ,D,2016-06-30 00:00:00,TB,Arch Pearl,121,6,G,L,P   Husbands,12.9,8.0,8,40000,6.0,9.0,0.0,81.0,Murphy Conor,"Riverside Bloodstock, LLC and Beaty, Dan",0.0,0.0,0.0,Cloudy,850.0,Claiming,GD
WO ,D,2016-07-01 00:00:00,TB,Classic Bryce,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Showery,700.0,Claiming,FT
WO ,D,2016-07-01 00:00:00,TB,Southern Ring,117,4,M,L,E R Da Silva,2.5,6.0,6,0,1.0,1.0,0.0,103.0,Pierce Malcolm,Sam-Son Farm,7.0,4.4,2.9,Cloudy,600.0,Stakes,FT
WO ,D,2016-07-01 00:00:00,TB,Point Load,120,3,G,Lb,G   Boulanger,24.8,1.0,1,8000,9.0,11.0,0.0,54.0,Banach Darwin D,Still Horsin Around Racing Stable,0.0,0.0,0.0,Cloudy,650.0,Maiden Claiming,FT
WO ,D,2016-07-01 00:00:00,TB,Classic Bryce,121,7,G,b,L   Contreras,6.6,4.0,4,6250,4.0,5.0,0.0,73.0,Banach Darwin D,"William A. Sorokolit, Sr.",0.0,0.0,0.0,Cloudy,850.0,Claiming,FT
WO ,D,2016-07-02 00:00:00,TB,Ediberto,122,3,C,Lb,R M Hernandez,5.55,1.0,1,40000,2.0,5.0,0.0,54.0,Squires Nathan,Nathan Squires,0.0,0.0,0.0,Cloudy,500.0,Maiden Optional Claiming,FT
WO ,D,2016-07-02 00:00:00,TB,Where's the Widget,124,4,G,Lb,E R Da Silva,3.6,8.0,7,0,5.0,1.0,0.0,102.0,Biamonte Ralph J,Mary E. Biamonte,9.2,5.3,3.2,Cloudy,800.0,Stakes,GD
WO ,D,2016-07-02 00:00:00,TB,Old Valyria,118,3,F,L,J M Campbell,5.7,2.0,2,0,3.0,7.0,0.0,60.0,Attard Jamie,Lucio Tucci,0.0,0.0,0.0,Cloudy,700.0,Allowance Optional Claiming,FT
WO ,D,2016-07-02 00:00:00,TB,Essences Best,121,7,M,Lb,D   Johnson,113.7,10.0,10,10000,1.0,11.0,0.0,19.0,Steve Chris,Chris Steve,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2016-07-02 00:00:00,TB,Allwehaveisnow,117,3,F,Lb,L   Contreras,4.6,1.0,1,40000,4.0,1.0,0.0,88.0,Banach Darwin D,L. R. Deakins Racing Stable,11.2,5.1,3.4,Cloudy,700.0,Claiming,FT
WO ,D,2016-07-02 00:00:00,TB,Eumenides,121,5,M,L,S   Singh,157.55,5.0,5,0,7.0,11.0,0.0,70.0,Capi Louis M,Wayne J. Gillis,0.0,0.0,0.0,Clear,900.0,Allowance,FM
WO ,D,2016-07-03 00:00:00,TB,Strut the Course,119,6,M,L,R M Hernandez,6.3,4.0,4,0,3.0,4.0,0.0,115.0,Minshall Barbara J,John Unger,0.0,0.0,0.0,Showery,900.0,Stakes,GD
WO ,D,2016-07-03 00:00:00,TB,Rochester,120,2,C,Ly,E   Wilson,23.4,6.0,5,32000,2.0,3.0,0.0,63.0,Potts Jr Ron G,Morell Patrick and Englehart David,0.0,0.0,6.5,Cloudy,850.0,Maiden Claiming,FT
WO ,D,2016-07-05 00:00:00,TB,Serena's Victory,121,5,M,b,C   Jordan,80.8,6.0,6,9500,10.0,8.0,0.0,48.0,Smith Robert Charles,C J Racing Stable,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2016-07-06 00:00:00,TB,Schloss Schneeberg,121,4,G,L,S R Bahen,18.95,8.0,8,15000,5.0,7.0,0.0,54.0,Gerl Robert,1824782 Ontario Inc.,0.0,0.0,0.0,Clear,550.0,Maiden Claiming,FM
WO ,D,2016-07-06 00:00:00,TB,Sweet Brew,121,5,M,Lb,J V Bridgmohan,11.65,6.0,6,25000,6.0,8.0,0.0,72.0,O'Callaghan Danny M,L.T. Stable,0.0,0.0,0.0,Showery,650.0,Claiming,FT
WO ,D,2016-07-08 00:00:00,TB,Chiringuita,117,3,F,,R M Hernandez,5.45,5.0,4,0,10.0,8.0,0.0,84.0,Attfield Roger L,Triton Stable and Wright Chris,0.0,0.0,0.0,Cloudy,700.0,Allowance,FT
WO ,D,2016-07-08 00:00:00,TB,Chiringuita,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Clear,800.0,Stakes,FM
WO ,D,2016-07-08 00:00:00,TB,Jennifer Lynnette,121,4,F,L,P   Husbands,1.3,4.0,4,0,7.0,1.0,0.0,98.0,Casse Mark E,Conrad Farms,4.6,3.3,2.3,Cloudy,500.0,Allowance,FT
WO ,D,2016-07-09 00:00:00,TB,Glorious Empire (IRE),118,5,G,L,A   Garcia,8.6,1.0,1,0,7.0,5.0,0.0,98.0,Walker Ed,Mr P K Siu,0.0,0.0,0.0,Cloudy,600.0,Stakes,FT
WO ,D,2016-07-09 00:00:00,TB,Little Christy,116,2,F,Lf,E R Da Silva,1.95,6.0,6,0,2.0,1.0,0.0,89.0,De Paulo Michael P,Samotowka Stables Buscaglia Charlie Cullen Kevin and Cullen Kate,5.9,4.3,3.0,Cloudy,600.0,Allowance Optional Claiming,FT
